provided_top_class,provided_class,n,mean_label_quality_score,clean_rate,noisy_top_mismatch_rate,pseudo_label_rate,same_class_rate,same_top_class_rate,mean_provided_class_probability,mean_classifier_confidence
ss,ss-i,383,0.32076323179595967,0.09660574412532637,0.10966057441253264,0.23759791122715404,0.24804177545691905,0.4464751958224543,0.21112403931846213,0.6777336612010444
is,is-p,2321,0.3328618361656586,0.17837139164153382,0.14648858250753985,0.25333907798362776,0.24472210254200777,0.3127962085308057,0.2242073486257238,0.7619201391383025
is,is-k,43,0.35481455969305165,0.13953488372093023,0.046511627906976744,0.13953488372093023,0.27906976744186046,0.5348837209302325,0.27149447259093024,0.661856451627907
sp,sp-c,50,0.37076870147406765,0.14,0.12,0.14,0.32,0.54,0.271971427557,0.6684474792
fx,fx-ex,839,0.37282184503505755,0.1430274135876043,0.05363528009535161,0.13587604290822408,0.3361144219308701,0.601907032181168,0.2800921218377533,0.6190400444457688
fx,fx-m,1542,0.4086569069150452,0.1511024643320363,0.013618677042801557,0.41309987029831385,0.24254215304798962,0.9332036316472114,0.2176538726989663,0.7829437130479896
fx,fx-el,2000,0.41693966748570394,0.174,0.0285,0.0965,0.3485,0.774,0.31917585630080747,0.635986777625
ss,ss-s,596,0.4333212588034366,0.28859060402684567,0.11409395973154363,0.07885906040268456,0.4412751677852349,0.4463087248322148,0.37678287481857886,0.6759721844295302
m,m-sp,964,0.4624368195276158,0.28526970954356845,0.01970954356846473,0.4190871369294606,0.3755186721991701,0.45228215767634855,0.3587976860318257,0.8426635621576763
is,is-w,34,0.4627713825519321,0.35294117647058826,0.029411764705882353,0.17647058823529413,0.4117647058823529,0.4117647058823529,0.3930445450864706,0.75984682
sp,sp-p,69,0.4918889598663807,0.3188405797101449,0.08695652173913043,0.13043478260869565,0.4927536231884058,0.6086956521739131,0.42421352006130436,0.7260942778260869
ss,ss-u,2573,0.4960684996533528,0.3058686358336572,0.114263505635445,0.1713952584531675,0.45394481150408084,0.5783132530120482,0.4375964413830859,0.7551054064982511
is,is-s,293,0.4985837655608061,0.3412969283276451,0.020477815699658702,0.13651877133105803,0.40955631399317405,0.7235494880546075,0.42255262075201366,0.7388082040273037
fx,fx-a,730,0.5036631488126209,0.31232876712328766,0.015068493150684932,0.1,0.5013698630136987,0.7849315068493151,0.42619678127197264,0.6758949866986301
fx,fx-h,1423,0.5992207077090487,0.4223471539002108,0.015460295151089248,0.23752635277582573,0.5368938861560084,0.9177793394237527,0.4889594916694427,0.818895976943078
is,is-e,1360,0.6021619442683616,0.45808823529411763,0.03235294117647059,0.09264705882352942,0.6272058823529412,0.763235294117647,0.5416882729098897,0.7461614791397059
ss,ss-n,4831,0.6224703169652235,0.4396605257710619,0.0329124404885117,0.0989443179465949,0.6803974332436349,0.7313185675843511,0.573679271953842,0.7395941427758228
m,m-si,1344,0.6612560695753407,0.5706845238095238,0.03125,0.20833333333333334,0.6428571428571429,0.71875,0.5983118125339717,0.8699364909151787
fx,fx-n,659,0.6727321679704378,0.5523520485584219,0.006069802731411229,0.07435508345978756,0.6843702579666161,0.9301972685887708,0.6043993897735858,0.7869587732169954
sp,sp-s,980,0.6926159003151405,0.6,0.02959183673469388,0.10612244897959183,0.6989795918367347,0.7724489795918368,0.6485907960374183,0.8308234463367348
m,m-m,2044,0.7071670060563034,0.5557729941291585,0.009295499021526418,0.0474559686888454,0.7832681017612525,0.9187866927592955,0.655757456058364,0.7572086693737768
fx,fx-v,1852,0.7268581578547743,0.6258099352051836,0.0021598272138228943,0.02159827213822894,0.8326133909287257,0.9487041036717062,0.6766307718982721,0.745375274562635
fx,fx-o,4534,0.7630812958038866,0.6521835024261138,0.004852227613586237,0.07234230260255844,0.7767975297750331,0.9536832818703131,0.7218909318577172,0.8441528499228055
